Name,Role
Giacomo Ponzi,Game Designer
Salman Antar,3D Modeler
Kiera Bacon,Game Programmer
Rowan Butt,2D Artist
Barry Brar,2D Artist
Neil Hunter,Game Programmer
Chi Ma,Game Programmer
Josh Morris,Quality Assurance
Daniel Pinto,3D Modeler
Daira Silva,UI/UX Artist
Sofiya Skliar,2D Artist
Anna Stopina,2D Artist
Michelle Tran,2D Artist
Ben Van De Mark,Video Editor
Areej Shaikh,Biologist
Calvin Aremu,Biologist
Chaitali Parikh,Biologist
Cristina Monaco,Biologist
Esha Prasad,Biologist
Jezreel Dalmieda,Biologist
Nicholas Razzaghi,Biologist
Ravni Bomrah,Biologist
Simarpreet Dhanauta,Biologist
Thu Vu (Sue),Biologist
Victoria Au-Yeung,Biologist
Yeonseo (Olivia) Hong,Biologist
Zuhaa Ali,Biologist
Alexander Fazio,Game Designer
Kian Badiekhorsand,Game Designer
Maxwell Bowser,Game Designer
Adrianna Brittain,Biologist
Amelia Davis,Biologist
Elijah Kinnane,Biologist
Nathan Vanderburg,Biologist
Olivia McIsaac,Musician
Harmony Deslauriers,Musician
Nicholas Chen,Physicist
Angela Moskal,Physicist
Gabriella Tankel,Physicist
Ahmad Albarazi,Concept Artist
Zohar Shachak,Concept Artist
Lauren Madahbee,Concept Artist
Marcus Wong,Audio Engineer
Siddharth Virkar,Audio Engineer
Barbara-Nicole Pagliuso,2D Game Artist/3D Modeler
Michelle Tran,2D Game Artist/3D Modeler
Mary Angela Abate,2D Game Artist/3D Modeler
Malka Finkelstein,2D Game Artist/3D Modeler
Robyn Du Temple,2D Game Artist/3D Modeler
Lan Anh Nguyen,2D Game Artist
Yahya Kassab,2D Game Artist/3D Modeler
Amara Scotland,2D Game Artist/3D Modeler
Rachel Medeiros,2D Game Artist/3D Modeler
Peter Maliszewski,2D Game Artist/3D Modeler
Patrick Crowley,Game Programmer
Samantha Shanahan,Game Programmer
Karl Zingel,Game Programmer
Sophia Kovalenko,Game Programmer
Benjamin Frank,Game Programmer
Zhikang Chen,Game Programmer
Betul Asdemir,Biologist
Emma Parrott,Biologist
Jessica Yemen,Biologist
Sai Varun Bengadi Satthish,Concept Artist
Gabriel Barrueco Pires,Modeling
Sung Young Chung,Modeling
Candice Huang,Modeling
Victor Hugo Junior Arce Arica,Animation
Marcello Alcântara,Animation
Nicole Hilts,2D Artist
Vanessa Santos Hassuo,2D Artist
Tony (Platon) Roskin,2D Artist
Zahra Tajik,2D Artist
Jonathan Dicecco,Game Programmer
Shivanshi Gupta,Game Programmer
Kamalpreet Singh,Game Programmer
Yash Mehrotra,Game Designer
Upamanyu Prasanna Yavalkar,Game Designer/Programmer
Jaccqueline Navarro,Modeling
Anna Sklavos,Modeling
Qirat Shahzad,Modeling/Artist
Victoria Brandon-Meogrossi,Modeling/Artist
Trisha Malonzo,Modeling/Artist
Mary McIsaac,Modeling/Artist
Zeel Shah,Modeling/Artist
Ashli Ozkan,2D Artist/Modeler
Angela Zhang,2D Artist/Modeler
Travor Bui,Game Programmer
Ayden Hayink,Game Programmer
Ethan Vincze,Game Programmer
Vander Dos Santos,Game Programmer
Jeremy Porritt,Game Programmer
Ali Cabir,Game Programmer
Havish Vyas,Programmer
Michael Hulfeld-Wood,Game Programmer
